,Asan,Benefit1,Benefit2,preprocessed_benefit1,preprocessed_benefit2,label_ids
3879,prasarita padottanasana,"Improves digestion: Prasarita Padottanasana can help to stimulate the digestive system and alleviate digestive issues such as constipation, bloating, and gas",can help to calm the mind and reduce stress and anxiety.,improves digestion prasarita padottanasana help stimulate digestive system alleviate digestive issues constipation bloating gas,help calm mind reduce stress anxiety,5
3880,sarvangasana,"Relieves stress and anxiety: The focus required in this pose, along with the deep breathing, can help to calm the mind and reduce stress and anxiety.",Flexibility of the neck vertebrae is improved and the nerves passing through the neck to the brain are toned.,relieves stress anxiety focus required pose along deep breathing help calm mind reduce stress anxiety,flexibility neck vertebrae improved nerves passing neck brain toned,13
3881,pada hastasana,Inverting the trunk increases the blood flow to the brain and improves circulation to the pituitary and thyroid glands.,"can help to activate the parasympathetic nervous system, promoting relaxation and reducing stress and anxiety.",inverting trunk increases blood flow brain improves circulation pituitary thyroid glands,help activate parasympathetic nervous system promoting relaxation reducing stress anxiety,22
3882,bhujangasana,"It tones the ovaries and uterus, and helps in menstrual and some other gynaecological disorders.","can help to stretch and open up the chest and lungs, which can be beneficial for those with respiratory issues",tones ovaries uterus helps menstrual gynaecological disorders,help stretch open chest lungs beneficial respiratory issues,11
3883,vajrasana,Helps in weight loss by improving metabolism.,helps in digestion and increases the efficiency of the digestive system.,helps weight loss improving metabolism,helps digestion increases efficiency digestive system,12
3884,trikonasana,Trikonasana gives flexibility of the back and spine.,It tones all organs in the abdomen maintain the health of those organs.,trikonasana gives flexibility back spine,tones organs abdomen maintain health organs,27
3885,anjaneyasana,Anjaneyasana stretches both the anterior and posterior parts of the body from the toes to the fingertips.,Anjaneyasana stimulates reproductive systems.,anjaneyasana stretches anterior posterior parts body toes fingertips,anjaneyasana stimulates reproductive systems,48
3886,ardha matsyendrasana,Releases the lower back muscles and provides relief from lower back pain.,Helps in diabetes,releases lower back muscles provides relief lower back pain,helps diabetes,4
3887,gomukhasana,Gomukhasana is an excellent asana for inducing relaxation.,It helps to develop the chest.,gomukhasana excellent asana inducing relaxation,helps develop chest,10
3888,padmasana,The normally large blood flow to the legs is redirected to the abdominal region.,"This pose brings in fresh blood to the sacral nerves that helps to clear up many physical, nervous and emotional problems.",normally large blood flow legs redirected abdominal region,pose brings fresh blood sacral nerves helps clear many physical nervous emotional problems,1
3889,ardha matsyendrasana,Helps in diabetes,"It tones the nerves of the spine, makes the back muscles supple, relieves lumbago and muscular spasms, and reduces the tendency of adjoining vertebrae to develop inflammatory problems and calcium deposits.",helps diabetes,tones nerves spine makes back muscles supple relieves lumbago muscular spasms reduces tendency adjoining vertebrae develop inflammatory problems calcium deposits,4
3890,ushtrasana,Camel Pose improves spinal mobility,"stimulates the endocrine glands with abdominal stretching and alleviates diseases related to the ovaries, pineal glands, and testes. Etc",camel pose improves spinal mobility,stimulates endocrine glands abdominal stretching alleviates diseases related ovaries pineal glands testes etc,6
3891,bhujangasana,"It stimulates the appetite, alleviates constipation and is beneficial for all the abdominal organs, especially the liver and kidneys.",Improves posture,stimulates appetite alleviates constipation beneficial abdominal organs especially liver kidneys,improves posture,11
3892,paschimottanasana,can help to reduce fatigue and improve energy levels.,It stimulates circulation to the nerves and muscles of the spine.,help reduce fatigue improve energy levels,stimulates circulation nerves muscles spine,40
3893,ardha chakrasan,Ardha Chakrasana helps back and spine muscles,Ardha Chakrasana is a really good asana to boost heart health.,ardha chakrasana helps back spine muscles,ardha chakrasana really good asana boost heart health,46
3894,ashta chandrasana,"helps the shoulders and the neck, reducing any stiffness. ",Tones the entire body with the deep stretch,helps shoulders neck reducing stiffness,tones entire body deep stretch,38
3895,ardha matsyendrasana,Helps those experiencing a slipped disc.,Stretches the inner thighs.,helps experiencing slipped disc,stretches inner thighs,4
3896,paschimottanasana,Stretches the hamstrings,Increases the flexibility of the hip joints,stretches hamstrings,increases flexibility hip joints,40
3897,mayurasana,It builds deeper awareness of the body encouraging more stability and calmness.,"With awareness the communication to the brain is improved, thereby encouraging better functioning of the nervous system with the spine being supple and soft.",builds deeper awareness body encouraging stability calmness,awareness communication brain improved thereby encouraging better functioning nervous system spine supple soft,42
3898,tadasana,encourages mindfulness and self-awareness by promoting focus and concentration on the present moment.,"Tadasana stretches the rectus abdomini muscles and the intestines, and is useful during the first six months of pregnancy to keep the abdominal muscles and nerves toned.",encourages mindfulness selfawareness promoting focus concentration present moment,tadasana stretches rectus abdomini muscles intestines useful first six months pregnancy keep abdominal muscles nerves toned,8
